Samples,TVC,Pseudomonads
F1a,2.88978452,1.412663265
F1b,3.315753252,1.412663265
0F3,3.81025556,2.151223893
0F4,2.88978452,2.535419599
0F5,3.126162745,2.61163327
0F7,4.142359509,4.082766306
0F8,3.815753252,3.364208259
0F9,4.565586056,4.757734714
0F10,5.378900148,4.865722994
0F11,6.678217431,6.968294522
0F12,5.864208259,6.341329514
0F14,8.018986084,8.050549216
0F16,8.711494407,8.686304419
5F2,3.692317271,3.136939135
5F3,3.670997045,4.491844512
5F4,4.119480764,5.558791301
5F5,5.437930475,6.008159487
5F6,6.673826686,7.093904503
5F7,6.801738891,6.691416866
5F8,8.343728955,8.555678066
5F9,9.753102853,9.509573279
5F11,9.448143723,9.014723257
10F2,4.149406751,3.263921614
10F4,4.315753252,2.875061263
10F5,4.648895214,4.385791119
10F6,4.573772913,5.304757868
10F7,6.872724929,4.616783248
10F9,6.335212285,5.774391102
10F12,8.0846628,7.98086499
10F14,7.450764956,7.585849534
10F16,8.346102173,8.648191712
10F18,8.775619082,9.065875779
15F4,3.967958121,2.88978452
15F5,4.484950369,2.014723257
15F6,5.461118272,4.792874507
15F7,5.610762939,5.257761306
15F8,5.616647489,5.792874507
15F9,7.188997374,7.025447122
15F10,7.438817815,7.502568377
15F11,7.744424213,7.454055951
15F13,8.812519587,8.878046117
15F16,8.959374108,8.558791301
15F19,9.15495553,9.574031268
20F3,3.990331284,2.98086499
20F4,3.90198174,4.025447122
20F5,5.39690474,5.968965766
20F7,7.156303174,6.546202174
20F8,7.310638015,7.068761468
20F9,7.74200278,7.234176794
20F10,8.145726201,7.864449701
20F13,9.055666827,8.014723257
20F16,9.4320528,9.093904503
